language,bn,gu,hi,hi-en,kn,ml,mr,ta,te
bn,1.000000,0.487737,0.779342,0.686926,0.513980,0.504345,0.489314,0.969071,0.585073
gu,0.487737,1.000000,0.467335,0.902894,0.750525,0.731173,0.969982,0.412261,0.854500
hi,0.779342,0.467335,1.000000,0.668255,0.373972,0.343323,0.578821,0.878048,0.440575
hi-en,0.686926,0.902894,0.668255,1.000000,0.900952,0.883987,0.853066,0.610114,0.953289
kn,0.513980,0.750525,0.373972,0.900952,1.000000,0.999108,0.607614,0.361292,0.981545
ml,0.504345,0.731173,0.343323,0.883987,0.999108,1.000000,0.580187,0.344257,0.976156
mr,0.489314,0.969982,0.578821,0.853066,0.607614,0.580187,1.000000,0.472207,0.735112
ta,0.969071,0.412261,0.878048,0.610114,0.361292,0.344257,0.472207,1.000000,0.443405
te,0.585073,0.854500,0.440575,0.953289,0.981545,0.976156,0.735112,0.443405,1.000000
