language,bn,gu,hi,hi-en,kn,ml,mr,ta,te
bn,1.000000,0.789627,0.328859,0.723640,-0.722974,-0.731816,0.763886,0.768705,-0.613365
gu,0.789627,1.000000,0.396584,0.748176,-0.638297,-0.687825,0.801707,0.720683,-0.495609
hi,0.328859,0.396584,1.000000,0.499478,0.167413,0.144628,0.566886,0.447309,0.249756
hi-en,0.723640,0.748176,0.499478,1.000000,-0.530850,-0.553313,0.691414,0.637724,-0.410005
kn,-0.722974,-0.638297,0.167413,-0.530850,1.000000,0.965765,-0.438675,-0.479224,0.927765
ml,-0.731816,-0.687825,0.144628,-0.553313,0.965765,1.000000,-0.465291,-0.490334,0.891144
mr,0.763886,0.801707,0.566886,0.691414,-0.438675,-0.465291,1.000000,0.753238,-0.310623
ta,0.768705,0.720683,0.447309,0.637724,-0.479224,-0.490334,0.753238,1.000000,-0.353828
te,-0.613365,-0.495609,0.249756,-0.410005,0.927765,0.891144,-0.310623,-0.353828,1.000000
