language,bn,gu,hi,hi-en,kn,ml,mr,ta,te
bn,1.000000,0.795209,0.841595,0.743423,0.166183,0.218491,0.825068,0.665551,0.305946
gu,0.795209,1.000000,0.857899,0.768898,0.500847,0.545313,0.911886,0.864638,0.614803
hi,0.841595,0.857899,1.000000,0.753962,0.480806,0.523356,0.821330,0.803383,0.588541
hi-en,0.743423,0.768898,0.753962,1.000000,0.212294,0.247008,0.816475,0.648095,0.374025
kn,0.166183,0.500847,0.480806,0.212294,1.000000,0.980724,0.354086,0.683508,0.942334
ml,0.218491,0.545313,0.523356,0.247008,0.980724,1.000000,0.398754,0.715225,0.947973
mr,0.825068,0.911886,0.821330,0.816475,0.354086,0.398754,1.000000,0.811815,0.496885
ta,0.665551,0.864638,0.803383,0.648095,0.683508,0.715225,0.811815,1.000000,0.754417
te,0.305946,0.614803,0.588541,0.374025,0.942334,0.947973,0.496885,0.754417,1.000000
