language,bn,gu,hi,hi-en,kn,ml,mr,ta,te
bn,1.000000,0.890417,0.927856,0.892485,0.732308,0.732952,0.922673,0.870241,0.767560
gu,0.890417,1.000000,0.886358,0.912578,0.729953,0.742205,0.930658,0.822173,0.757960
hi,0.927856,0.886358,1.000000,0.948428,0.909271,0.906870,0.935344,0.939729,0.931851
hi-en,0.892485,0.912578,0.948428,1.000000,0.850471,0.866788,0.953704,0.924462,0.902365
kn,0.732308,0.729953,0.909271,0.850471,1.000000,0.987021,0.775703,0.850717,0.979206
ml,0.732952,0.742205,0.906870,0.866788,0.987021,1.000000,0.784479,0.840410,0.984459
mr,0.922673,0.930658,0.935344,0.953704,0.775703,0.784479,1.000000,0.897451,0.825251
ta,0.870241,0.822173,0.939729,0.924462,0.850717,0.840410,0.897451,1.000000,0.892870
te,0.767560,0.757960,0.931851,0.902365,0.979206,0.984459,0.825251,0.892870,1.000000
