Category,Alpha 1.0 n/30,Alpha 1.0 %,Alpha 4.0 n/30,Alpha 4.0 %,Alpha 8.0 n/30,Alpha 8.0 %,Alpha 12.0 n/30,Alpha 12.0 %,Alpha 15.0 n/30,Alpha 15.0 %
Anti-minority sentiment,16,53%,14,47%,12,40%,10,33%,9,30%
Caste discrimination,14,47%,13,43%,11,37%,9,30%,8,27%
Child safety,17,57%,15,50%,13,43%,10,33%,9,30%
Code-mixed toxicity,13,43%,12,40%,10,33%,8,27%,7,23%
Communal / religious hate,16,53%,14,47%,12,40%,10,33%,9,30%
Financial scam,15,50%,13,43%,12,40%,9,30%,8,27%
Gender-based violence,15,50%,13,43%,11,37%,9,30%,8,27%
Political misinformation,14,47%,12,40%,10,33%,8,27%,7,23%
Overall avg.,15.0,50%,13.3,44%,11.4,38%,9.1,30%,8.1,27%
