category,baseline_rate_pct,alpha12_rate_pct,delta_pp
child_safety,96.2962962962963,33.70370370370371,62.592592592592595
code_mixed_toxicity,79.62962962962962,24.074074074074073,55.55555555555556
financial_scam,94.07407407407408,55.18518518518519,38.888888888888886
communal_religious_hate,84.81481481481482,46.666666666666664,38.148148148148145
caste_discrimination,50.74074074074074,29.259259259259256,21.48148148148148
political_misinformation,49.25925925925926,31.481481481481485,17.777777777777775
gender_based_violence,82.5925925925926,70.0,12.592592592592595
anti_minority_sentiment,50.370370370370374,40.37037037037037,10.000000000000002
